,score,altitude,region,processing,variety
0,90.58,2075.0,Africa,Washed / Wet,Ethiopian Varieties
1,89.92,2075.0,Africa,Washed / Wet,Ethiopian Varieties
2,89.75,1700.0,Central America,Washed / Wet,Bourbon
3,89.0,2000.0,Africa,Natural / Dry,Ethiopian Varieties
4,88.83,2075.0,Africa,Washed / Wet,Ethiopian Varieties
5,88.83,1000.0,Brazil,Natural / Dry,Bourbon
6,88.75,1200.0,South America,Washed / Wet,Typica
7,88.67,1635.0,Africa,Natural / Dry,Ethiopian Varieties
8,88.42,1635.0,Africa,Natural / Dry,Ethiopian Varieties
9,88.25,1822.5,Africa,Natural / Dry,Ethiopian Varieties
10,88.08,1905.0,Africa,Natural / Dry,Ethiopian Varieties
11,87.92,1872.0,South America,Washed / Wet,Bourbon
12,87.92,1943.0,South America,Washed / Wet,Bourbon
13,87.92,609.6,Asia Pacific,Natural / Dry,Typica
14,87.83,1635.0,Africa,Natural / Dry,Ethiopian Varieties
15,87.58,2080.0,South America,Washed / Wet,Bourbon
16,87.42,1500.0,Asia Pacific,Washed / Wet,Typica
17,87.33,1800.0,Africa,Natural / Dry,Typica
18,87.25,1450.0,Asia Pacific,Washed / Wet,Catimor
19,87.25,1850.0,Africa,Natural / Dry,Ethiopian Varieties
20,87.25,2019.0,South America,Washed / Wet,Bourbon
21,87.17,1300.0,Central America,Washed / Wet,Bourbon
22,87.17,1320.0,North America,Washed / Wet,Typica
23,87.08,2112.0,South America,Washed / Wet,Bourbon
24,87.08,1800.0,Africa,Natural / Dry,Ethiopian Varieties
25,86.92,1250.0,Brazil,Natural / Dry,Bourbon
26,86.92,1800.0,Africa,Natural / Dry,Typica
27,86.83,1950.0,Africa,Washed / Wet,Typica
28,86.67,1400.0,Central America,Washed / Wet,Bourbon
29,86.58,1200.0,Asia Pacific,Semi-Washed / Honey,Typica
30,86.58,1140.0,Central America,Washed / Wet,Bourbon
31,86.5,1600.0,Africa,Natural / Dry,Bourbon
32,86.42,1300.0,Brazil,Natural / Dry,Bourbon
